Component,Revenue,Year-Month
Client 1,4248900.0,2022-01
Client 10,1110474.0,2022-01
Client 2,872984.0,2022-01
Client 3,601126.0,2022-01
Client 4,644640.0,2022-01
Client 5,1115827.0,2022-01
Client 6,550988.0,2022-01
Client 7,1756304.0,2022-01
Client 8,1005360.0,2022-01
Client 9,1839104.0,2022-01
Client 1,2424273.0,2022-02
Client 10,2014920.0,2022-02
Client 2,1025715.0,2022-02
Client 3,273400.0,2022-02
Client 4,1348382.0,2022-02
Client 5,1827738.0,2022-02
Client 6,483771.0,2022-02
Client 7,1282260.0,2022-02
Client 8,543344.0,2022-02
Client 9,1502664.0,2022-02
Client 1,3772578.0,2022-03
Client 10,372166.0,2022-03
Client 2,1050962.0,2022-03
Client 3,1217721.0,2022-03
Client 4,861150.0,2022-03
Client 5,421857.0,2022-03
Client 6,585872.0,2022-03
Client 7,446978.0,2022-03
Client 8,1402960.0,2022-03
Client 9,664416.0,2022-03
Client 1,2832624.0,2022-04
Client 10,1096316.0,2022-04
Client 2,1429818.0,2022-04
Client 3,1466607.0,2022-04
Client 4,1073682.0,2022-04
Client 5,1250755.0,2022-04
Client 6,558195.0,2022-04
Client 7,440505.0,2022-04
Client 8,671880.0,2022-04
Client 9,1658016.0,2022-04
Client 1,3776886.0,2022-05
Client 10,1338336.0,2022-05
Client 2,902070.0,2022-05
Client 3,173788.0,2022-05
Client 4,846009.0,2022-05
Client 5,567120.0,2022-05
Client 6,713388.0,2022-05
Client 7,933504.0,2022-05
Client 8,1392341.0,2022-05
Client 9,1233648.0,2022-05
Client 1,3504204.0,2022-06
Client 10,600600.0,2022-06
Client 2,515645.0,2022-06
Client 3,1584380.0,2022-06
Client 4,915151.0,2022-06
Client 5,804344.0,2022-06
Client 6,675328.0,2022-06
Client 7,1159740.0,2022-06
Client 8,1177393.0,2022-06
Client 9,1641031.0,2022-06
Client 1,3161070.0,2022-07
Client 10,577216.0,2022-07
Client 2,1019031.0,2022-07
Client 3,1750932.0,2022-07
Client 4,1990443.0,2022-07
Client 5,754700.0,2022-07
Client 6,670390.0,2022-07
Client 7,1764378.0,2022-07
Client 8,522000.0,2022-07
Client 9,907731.0,2022-07
Client 1,1654350.0,2022-08
Client 10,605178.0,2022-08
Client 2,1355424.0,2022-08
Client 3,444024.0,2022-08
Client 4,1462450.0,2022-08
Client 5,756884.0,2022-08
Client 6,708324.0,2022-08
Client 7,1162070.0,2022-08
Client 8,1618086.0,2022-08
Client 9,1299942.0,2022-08
Client 1,2098719.0,2022-09
Client 10,554164.0,2022-09
Client 2,1397760.0,2022-09
Client 3,383184.0,2022-09
Client 4,1400236.0,2022-09
Client 5,1976853.0,2022-09
Client 6,682770.0,2022-09
Client 7,489124.0,2022-09
Client 8,1051848.0,2022-09
Client 9,1452928.0,2022-09
Client 1,2665260.0,2022-10
Client 10,1589335.0,2022-10
Client 2,425961.0,2022-10
Client 3,173664.0,2022-10
Client 4,947030.0,2022-10
Client 5,1398420.0,2022-10
Client 6,487665.0,2022-10
Client 7,1149234.0,2022-10
Client 8,1391220.0,2022-10
Client 9,1125402.0,2022-10
Client 1,3494754.0,2022-11
Client 10,1111460.0,2022-11
Client 2,761550.0,2022-11
Client 3,846141.0,2022-11
Client 4,829568.0,2022-11
Client 5,1112020.0,2022-11
Client 6,718977.0,2022-11
Client 7,756560.0,2022-11
Client 8,415476.0,2022-11
Client 9,1233232.0,2022-11
Client 1,2085210.0,2022-12
Client 10,1640576.0,2022-12
Client 2,457200.0,2022-12
Client 3,369024.0,2022-12
Client 4,976488.0,2022-12
Client 5,677376.0,2022-12
Client 6,567736.0,2022-12
Client 7,1199400.0,2022-12
Client 8,1075932.0,2022-12
Client 9,1748626.0,2022-12
